sample_ID,1,2,3,4,5,6,7,8,9,10
LaWi_sed_28-32,131.55018676766224,156.00244566375483,170.50314336515987,197.28225619817673,,,,,,
LaWi_sed_68-72,130.21451539559695,151.1195546913282,162.6263202045479,173.7826633074243,200.36845509509357,,,,,
LaWi_sed_88-92,127.64500351943747,148.82682192016418,160.87716729558232,175.3345295755573,201.65731568524686,,,,,
LaWi_sed_148-152,135.83966503550573,153.7040301384794,164.3598529866141,170.97446386870982,195.51026064433208,,,,,
LaWi_sed_188-192,128.75692055599433,147.8557187940043,159.15636865211084,166.57873315205785,193.3103356824007,,,,,
MiRi_surf_2008,136.31769515004484,155.39971967437546,167.16832461953035,180.84616621532348,202.1293597635921,,,,,
MiRi_inter_2008,139.2186036864652,161.6058089551195,176.11980024547688,189.35761274120455,207.58237777610728,,,,,
MiRi_deep_2008,136.65388760043152,157.46705431952338,170.96521952030832,184.04671650453264,204.15857211489256,,,,,
MiRi_surf_2009,134.04602632498523,151.02030754387775,162.44504685227136,171.77237562209106,195.97819310779383,,,,,
MiRi_deep_2009,133.56667281106536,150.6016236723254,162.45963805745887,170.52243792660227,194.80878655951918,,,,,
MiDe_surf_2009,139.34301106710302,158.8974641567669,171.94707329211428,185.85219644908912,209.09815263464014,,,,,
MiDe_inter_2009,141.87433000436823,162.85236059133524,177.7570409610091,194.17951147135574,212.52780368993712,,,,,
AtRi_inter_2009,132.8785451564391,149.80484587312017,161.43537480561153,172.13029009239622,193.95862581986506,,,,,
AtDe_surf_2009,137.03168230221118,152.73403219251233,166.42178531127885,180.00692133169895,203.29204183874106,,,,,
CoDe_ND_bulk,138.84584613348136,159.40672907191077,170.7575269690361,179.26663402220842,199.2743174528391,,,,,
CoDe_ND_D1,141.9222554304204,162.84728359426742,173.80464566086778,185.6960212062745,203.64149733847523,,,,,
CoDe_ND_D2,136.8280700383374,152.67585582182164,160.28185443736805,167.3316762077911,191.57665467369964,,,,,
CoDe_ND_D3,134.2015901002679,148.0884658299731,161.138770717228,173.19518876976676,192.67763347096604,,,,,
CoDe_ND_D4,129.7084728271718,153.4382498675818,170.86161294271372,182.9705836850112,202.09802713940883,,,,,
SiLa_L3_bulk,132.36396663916273,149.5858050206811,161.1277869540653,170.51210719087842,189.91751107335293,217.07598971653366,,,,
SiLa_L3_D1,130.25868926677,170.25945026607633,198.61443701762414,220.7486833534809,229.55814562748301,,,,,
SiLa_L3_D2,132.11828307776693,175.26136254330888,203.06606604743376,213.6387024583979,,,,,,
SiLa_L3_D3,161.1134468278745,196.59566285106584,,,,,,,,
SiLa_L3_D4,126.34528359060003,151.92717227095443,173.33448386616666,188.88057816576494,207.58278999342866,,,,,
BaSa8_psol_1445-1446,147.46277143836863,160.7866407195962,164.76690819018117,170.13139830958798,189.71903674623363,,,,,
Bout1_psol_1820-1822,145.07380212938241,164.420793505316,180.93720572012467,186.16475081097508,197.45084034863322,,,,,
Bout1_peat_1818-1820,138.92114855426556,174.4845014798381,199.92109689890287,211.33214571771575,224.19902802806217,,,,,
Bout2_psol_1874-1876,150.58251572872385,170.85348679774205,177.92098520263232,185.5395677391421,201.76491253907625,,,,,
Bout2_peat_1872-1874,142.5281282227207,180.96675935091102,192.81557596168722,200.45291539259048,210.54075782795226,,,,,
AmRi_KS12_1-2,121.53283975540849,137.50916593249215,150.1475622940053,159.48513690237874,185.45553523375463,,,,,
AmRi_KS12_22-23,122.43976318260665,136.923358581878,148.44416800313087,159.04559434186672,182.87446620042454,,,,,
AmRi_KS18_96_99,122.48962072473523,139.38604825379826,151.8959127511311,166.79684755156967,197.18637072061728,,,,,
CaSa_soil_nat_fume,136.2120694177982,144.69581778305746,153.64238862505462,164.4066418943034,179.3285245802053,193.3039712894435,,,,
CaSa_soil_nat_raw,141.1757837920684,151.26581267551325,163.537233217135,187.89796571080905,,,,,,
CaSa_soil_cul_fume,142.51206199536213,153.6971838022283,167.7390215904386,182.294812555267,190.47685753104673,211.20662174942225,,,,
CaSa_soil_cul_raw,140.77190172004654,150.29688483098022,163.42641543529245,182.14364857321064,220.98833346153742,,,,,
Ant_KC11_0-1,133.11962289448346,155.48512776929152,171.0152280240881,187.52105451939468,206.64490983119305,,,,,
Ant_KC11_100-101,136.76448404386716,161.11554084406927,174.0802854744064,190.59244964131767,210.35743593232183,,,,,
Ant_KC11_200-201,138.35309215811876,163.18887822148608,177.57397269427665,196.06289116807335,215.2937186874226,,,,,
Ant_KC11_300-301,138.71096562728547,163.89696957936079,178.7752510967452,194.978850774142,213.08396008437984,,,,,
Ant_KC11_398-399,138.8329653520988,166.14454318596444,181.14769985780993,198.59762914575603,216.4013754073443,,,,,
Ant_05026E_1E84-86,140.18019561611345,159.36735423307096,175.77035252298913,190.43942160843605,202.02856242635937,,,,,
Ant_05026E_7E24-26,142.54082412804382,161.9603660827267,178.5045334252956,196.2629797565649,211.4512096926854,,,,,
Ant_05026E_8E193-195,140.02834385532685,156.42995748679436,174.03798783588678,188.89056092206954,204.46253612499248,,,,,
CoRi_Ivo_40-60,134.16988973095542,154.20973353191405,170.23828214127374,193.4974955134092,209.03976051698737,,,,,
CoRi_DUM_40-100,134.52535639536734,154.18014061303938,170.0629848892463,190.80389049811708,215.18903641957147,,,,,
CoRi_Itk_330-340,134.8924722930692,153.16915678040334,171.6269017604961,191.8803417149477,217.17530429609639,,,,,
CoRi_sed_Cr-24,134.83620193604395,155.80526955555348,172.19118139596148,190.31981269957018,215.5596736736069,,,,,
SiLa_L1_0-2,134.29220268707772,154.20988692269225,171.16029975569273,190.93008928201002,215.0692392821741,,,,,
SiLa_L3_0-2_2,135.79011762526895,154.0748231041106,168.97083998241527,193.2130674992514,215.11290099848426,,,,,
SiLa_L1_28-30,134.16252451757137,154.33550761562955,170.19003559321354,192.0763500672283,216.40442776368388,,,,,
HiSo_PL4169_6,131.38063071130722,142.40281145722065,150.97715954741494,161.6459426824937,183.76342880716788,,,,,
HiSo_PL4535_6,132.00899764427743,141.48082302909745,149.67657497824746,161.27979929021708,183.7253302393469,,,,,
HiSo_PL4800_5,124.58420446394014,135.44690916311993,143.2428316519547,150.8385878957898,163.64137816334255,,,,,
HiSo_PL4865_5,132.84770891415758,146.4790212604783,156.63783267014017,167.7106971522983,186.86967139849443,,,,,
HiSo_PL4925_5,137.2695955472324,158.47506692872003,175.19676270991962,189.27438697658943,207.5905827748266,,,,,
HiSo_PuuEke_2,130.03804101783803,141.88491714006145,150.16272129458915,159.945499967133,182.348569831267,,,,,
HiSo_PuuEke_4,129.30222433706106,139.84390444527813,148.9786372564658,167.3380402161575,,,,,,
HiSo_PuuEke_1,128.99638551613518,145.84729027857108,159.41245085834126,170.55257018646353,205.304543189037,,,,,
YuRi_PPL_DOM,132.26493566610088,153.34843974545998,167.1724940518635,168.44171950297124,169.07807094445337,175.30299754940629,,,,
AmRi_PPL_DOM,133.72269051434535,151.26044400845905,164.04244100059276,167.98818731303538,168.5017771320806,173.4102967898806,,,,
CoRi_PPL_DOM,137.8190527026173,160.04187753648728,165.29597129457096,165.74703645403508,170.39403240725758,,,,,
Mar_PPL_DOM,132.96042350991357,151.96387701590132,167.43323745400875,174.37142958522412,179.52838683379775,185.37932128211492,,,,
SuRi_filt_DOM,125.94570680074348,139.3004211472984,151.41826764317736,165.26644225244598,166.90904942268475,167.52530409102383,169.012980773636,189.8904448129511,,
HiSo_PL4535_8,132.46462638964655,141.4658693674711,148.34206972615314,159.04043685978135,180.53360267086825,,,,,
CoRi_sed_BRA001,123.72390216217786,133.4721925981677,142.28478857515114,153.8702973050666,168.88371508544574,187.84595526026226,,,,
CoRi_DOM_BRA001,141.37880942321823,161.20993204547915,167.10587624817904,167.94435751924493,169.41960114229622,,,,,
AmRi_ap2014_3m,126.25586308149484,136.08520056008498,145.5577101562804,162.02353574402412,184.56060164213903,,,,,
AmRi_ap2014_30m,128.0575584038719,137.7619634043985,148.38526957624939,164.85857992443533,188.33598910965355,,,,,
AmRi_ap2014_49m,125.60190086920274,134.73392257734255,143.8109114856909,161.0276847816994,185.94882682801963,,,,,
AmRi_ju2014_3m,125.50187695392226,136.54657621752435,147.0750242269789,166.09176563644795,190.33769256863056,,,,,
AmRi_ju2014_30m,127.56249486324002,138.26587408106988,150.5472797869109,177.5803981374462,,,,,,
AmRi_ju2014_54m,127.35568331301798,137.29996913056593,154.2218721596706,187.94565192336356,,,,,,
AmRi_2005_3m,134.36621980980718,150.63585811021633,172.17749276655618,198.51454414646605,,,,,,
MaRi_2005_3m,112.8611739535565,128.16653063494562,140.30381540751372,177.57884613017345,,,,,,
TaRi_2014_3m,134.44531242740456,143.58578672384473,160.04678807418577,183.9386272467033,,,,,,
SoRi_2005_3m,132.0330798652491,142.61616411778783,154.27978837089097,163.35853667492793,184.52947647143242,,,,,
NaRi_sed_pyrPB60,140.76002917546705,160.88805834804168,197.89747591259896,220.8443289693969,245.38685853731005,,,,,
NaRi_sed_LO742,141.39350453012923,159.5999496205894,181.924379013511,195.28569057133825,205.28009278762391,216.25142923502233,241.13628030740918,,,
Ant_05026E_8E24-26,148.13296812037328,160.62481414135635,176.86638370647918,192.48228647618276,218.7464721757154,,,,,
NaRi_sed_oxPB60,134.38711040562745,147.9111637510681,158.96421883298316,173.0650777625451,190.61127929871643,209.63241406757618,223.339131312503,231.46631685972048,260.5324225221679,
TiSo_TS1,129.43615676536055,142.2357519043472,148.67513504228808,159.09382355329316,173.66108749776575,203.51458506468725,,,,
TiSo_TS2,129.86092067104374,143.8873674523175,155.5906275935728,174.54397868235228,197.78317418547425,239.61050868874906,,,,
TiSo_TS3,134.157607133118,147.13237314739493,154.5274237841296,165.829606108418,181.88801593523633,218.91244728830836,,,,
TiSo_TS4,148.034819202353,175.8280762024902,214.33331445937844,,,,,,,
TiSo_TS5,114.77476592124941,128.0346112274604,135.11517762618348,137.71440342637328,142.41708100093362,152.5161131590329,176.2047999454117,,,
TiSo_TS6,126.86977012659713,137.9782102515047,143.64554196067402,149.47454466829004,161.95500039019737,202.38147370950026,,,,
TiSo_TS10,138.76390829372804,155.49466856394696,178.63387928924146,224.90192521636112,,,,,,
TiSo_TS11,150.66727576454193,208.22039377508594,220.43255689209144,229.29468288526024,,,,,,
TiSo_TS13,142.82867986403124,177.33104829065545,201.6224544401362,240.33805815294082,,,,,,
TiSo_TS17,135.5526247163612,151.79050273604864,166.7185588288382,188.08954266311102,224.34442811225352,,,,,
TiSo_TS18,110.19200821301267,121.02586455930219,129.36994698876734,133.57956518695335,141.80693911963635,170.93327530636716,,,,
TiSo_TS20,119.76247070249366,134.56687503644818,142.22219956497332,152.30833294839053,174.06133293345002,213.939901801821,,,,
LiWu_sed_LW1,138.7880468345357,187.19165086180288,204.7667147374443,209.16911178663133,213.05614776730278,221.44200921438556,,,,
LiWu_sed_LW3,155.47285304746518,194.61289700487248,199.26284697847632,204.60404530535007,210.06436327678892,222.17688586393257,,,,
LiWu_sed_LW11,158.65957869994853,189.79719191791844,201.5918273410811,208.22153597932004,216.17575221487664,226.49772716148038,,,,
LiWu_sed_LW13,152.2335168060482,185.49816323059872,196.68977163768807,205.89502501600916,209.68530170328464,216.3021780343886,,,,
LiWu_sed_LW17,134.29366857912868,155.70492010935533,199.45517976768843,207.70290426462984,210.6604948178855,216.0618306503274,,,,
LiWu_sed_LW21,148.11257272251885,167.49667903269102,190.54549791831104,202.57042650343595,211.4060471863903,218.89114859361223,,,,
LiWu_sed_H27,135.51049396073597,159.7246834831225,193.86694098256456,201.71695791354279,207.10319825697871,220.91276384258697,,,,
KoRi_sed_LO765,126.75864803214628,141.41489137821318,153.06294092758048,167.04124650429736,204.1470419087142,245.0279264829581,270.99358620530404,,,
